_id,STORMID,BASIN,Display_StormName,ObjectId,OBJECTID_1,ShapeSTLength,ESRI_OID,StormTrackId,NormalizedMSW,Display_DateRange,BeginObDate,EndObDate,Display_SaffirSimpson,FP_Years,FP_Months,FP_CR,FP_MSS,FP_MP,StormReportURL,IntensityOrder
1,AL011851,NA,UNNAMED 1851,,312974,819125.3918,,,80,"Jun 25, 1851 to Jun 28, 1851",1851-06-25T00:00:00,1851-06-28T00:00:00,H1,1851,6,Dummy,H1,-1,None,0
2,AL041851,NA,UNNAMED 1851,,312975,9542616.707,,,100,"Aug 16, 1851 to Aug 27, 1851",1851-08-16T00:00:00,1851-08-27T00:00:00,H3,1851,8,Dummy,H3,-1,None,0
3,AL051851,NA,UNNAMED 1851,,312976,189.932987,,,50,"Sep 13, 1851 to Sep 16, 1851",1851-09-13T00:00:00,1851-09-16T00:00:00,TS,1851,9,Dummy,TS,-1,None,0
4,AL061851,NA,UNNAMED 1851,,312977,2005943.399,,,60,"Oct 16, 1851 to Oct 19, 1851",1851-10-16T00:00:00,1851-10-19T00:00:00,TS,1851,10,Dummy,TS,-1,None,0
5,AL011852,NA,UNNAMED 1852,,312978,5758952.851,,,100,"Aug 19, 1852 to Aug 30, 1852",1852-08-19T00:00:00,1852-08-30T00:00:00,H3,1852,8,Dummy,H3,961,None,0
6,AL021852,NA,UNNAMED 1852,,312979,992843.5828,,,70,"Sep 05, 1852 to Sep 06, 1852",1852-09-05T00:00:00,1852-09-06T00:00:00,H1,1852,9,Dummy,H1,-1,None,0
7,AL031852,NA,UNNAMED 1852,,312980,2376193.928,,,70,"Sep 09, 1852 to Sep 13, 1852",1852-09-09T00:00:00,1852-09-13T00:00:00,H1,1852,9,Dummy,H1,-1,None,0
8,AL041852,NA,UNNAMED 1852,,312981,3682717.47,,,80,"Sep 22, 1852 to Sep 30, 1852",1852-09-22T00:00:00,1852-09-30T00:00:00,H1,1852,9,Dummy,H1,-1,None,0
9,AL051852,NA,UNNAMED 1852,,312982,5170479.638,,,90,"Oct 06, 1852 to Oct 11, 1852",1852-10-06T00:00:00,1852-10-11T00:00:00,H2,1852,10,Dummy,H2,-1,None,0
10,AL031853,NA,UNNAMED 1853,,312983,11337981.72,,,130,"Aug 30, 1853 to Sep 10, 1853",1853-08-30T00:00:00,1853-09-10T00:00:00,H4,1853,"8, 9",Dummy,H4,924,None,0
11,AL041853,NA,UNNAMED 1853,,312984,3297349.226,,,100,"Sep 08, 1853 to Sep 10, 1853",1853-09-08T00:00:00,1853-09-10T00:00:00,H3,1853,9,Dummy,H3,-1,None,0
12,AL061853,NA,UNNAMED 1853,,312985,2520711.836,,,70,"Sep 26, 1853 to Oct 01, 1853",1853-09-26T00:00:00,1853-10-01T00:00:00,H1,1853,"9, 10",Dummy,H1,-1,None,0
13,AL081853,NA,UNNAMED 1853,,312986,861504.0678,,,90,"Oct 19, 1853 to Oct 22, 1853",1853-10-19T00:00:00,1853-10-22T00:00:00,H2,1853,10,Dummy,H2,-1,None,0
14,AL011854,NA,UNNAMED 1854,,312987,1211525.871,,,70,"Jun 25, 1854 to Jun 27, 1854",1854-06-25T00:00:00,1854-06-27T00:00:00,H1,1854,6,Dummy,H1,-1,None,0
15,AL031854,NA,UNNAMED 1854,,312988,5055229.252,,,110,"Sep 07, 1854 to Sep 12, 1854",1854-09-07T00:00:00,1854-09-12T00:00:00,H3,1854,9,Dummy,H3,938,None,0
16,AL041854,NA,UNNAMED 1854,,312989,500786.0217,,,90,"Sep 18, 1854 to Sep 20, 1854",1854-09-18T00:00:00,1854-09-20T00:00:00,H2,1854,9,Dummy,H2,-1,None,0
17,AL051854,NA,UNNAMED 1854,,312990,1729815.399,,,60,"Oct 20, 1854 to Oct 22, 1854",1854-10-20T00:00:00,1854-10-22T00:00:00,TS,1854,10,Dummy,TS,-1,None,0
18,AL021855,NA,UNNAMED 1855,,312991,2637507.387,,,90,"Aug 10, 1855 to Aug 11, 1855",1855-08-10T00:00:00,1855-08-11T00:00:00,H2,1855,8,Dummy,H2,-1,None,0
19,AL041855,NA,UNNAMED 1855,,312992,2219966.307,,,60,"Aug 24, 1855 to Aug 27, 1855",1855-08-24T00:00:00,1855-08-27T00:00:00,TS,1855,8,Dummy,TS,997,None,0
20,AL051855,NA,UNNAMED 1855,,312993,837031.9428,,,110,"Sep 15, 1855 to Sep 17, 1855",1855-09-15T00:00:00,1855-09-17T00:00:00,H3,1855,9,Dummy,H3,-1,None,0
21,AL011856,NA,UNNAMED 1856,,312994,1301863.485,,,130,"Aug 09, 1856 to Aug 12, 1856",1856-08-09T00:00:00,1856-08-12T00:00:00,H4,1856,8,Dummy,H4,934,None,0
22,AL021856,NA,UNNAMED 1856,,312995,1057551.085,,,70,"Aug 13, 1856 to Aug 14, 1856",1856-08-13T00:00:00,1856-08-14T00:00:00,H1,1856,8,Dummy,H1,-1,None,0
23,AL031856,NA,UNNAMED 1856,,312996,1858521.481,,,50,"Aug 19, 1856 to Aug 21, 1856",1856-08-19T00:00:00,1856-08-21T00:00:00,TS,1856,8,Dummy,TS,-1,None,0
24,AL051856,NA,UNNAMED 1856,,312997,6719052.656,,,100,"Aug 25, 1856 to Sep 03, 1856",1856-08-25T00:00:00,1856-09-03T00:00:00,H3,1856,"8, 9",Dummy,H3,969,None,0
25,AL061856,NA,UNNAMED 1856,,312998,818998.6098,,,70,"Sep 18, 1856 to Sep 22, 1856",1856-09-18T00:00:00,1856-09-22T00:00:00,H1,1856,9,Dummy,H1,-1,None,0
26,AL011857,NA,UNNAMED 1857,,312999,1001311.998,,,50,"Jun 30, 1857 to Jul 01, 1857",1857-06-30T00:00:00,1857-07-01T00:00:00,TS,1857,"6, 7",Dummy,TS,-1,None,0
27,AL021857,NA,UNNAMED 1857,,313000,7231746.039,,,90,"Sep 06, 1857 to Sep 18, 1857",1857-09-06T00:00:00,1857-09-18T00:00:00,H2,1857,9,Dummy,H2,961,None,0
28,AL031857,NA,UNNAMED 1857,,313001,189.932987,,,70,"Sep 22, 1857 to Sep 26, 1857",1857-09-22T00:00:00,1857-09-26T00:00:00,H1,1857,9,Dummy,H1,-1,None,0
29,AL041857,NA,UNNAMED 1857,,313002,5252056.888,,,90,"Sep 24, 1857 to Sep 30, 1857",1857-09-24T00:00:00,1857-09-30T00:00:00,H2,1857,9,Dummy,H2,-1,None,0
30,AL031858,NA,UNNAMED 1858,,313003,4117331.889,,,90,"Sep 14, 1858 to Sep 17, 1858",1858-09-14T00:00:00,1858-09-17T00:00:00,H2,1858,9,Dummy,H2,979,None,0
31,AL041858,NA,UNNAMED 1858,,313004,6182209.082,,,80,"Sep 17, 1858 to Sep 24, 1858",1858-09-17T00:00:00,1858-09-24T00:00:00,H1,1858,9,Dummy,H1,-1,None,0
32,AL051858,NA,UNNAMED 1858,,313005,1899229.53,,,80,"Sep 22, 1858 to Sep 25, 1858",1858-09-22T00:00:00,1858-09-25T00:00:00,H1,1858,9,Dummy,H1,-1,None,0
33,AL061858,NA,UNNAMED 1858,,313006,3510942.976,,,90,"Oct 21, 1858 to Oct 26, 1858",1858-10-21T00:00:00,1858-10-26T00:00:00,H2,1858,10,Dummy,H2,-1,None,0
34,AL021859,NA,UNNAMED 1859,,313007,1329041.46,,,90,"Aug 17, 1859 to Aug 19, 1859",1859-08-17T00:00:00,1859-08-19T00:00:00,H2,1859,8,Dummy,H2,-1,None,0
35,AL031859,NA,UNNAMED 1859,,313008,636725.1363,,,70,"Sep 02, 1859 to Sep 03, 1859",1859-09-02T00:00:00,1859-09-03T00:00:00,H1,1859,9,Dummy,H1,-1,None,0
36,AL041859,NA,UNNAMED 1859,,313009,2609718.673,,,90,"Sep 12, 1859 to Sep 13, 1859",1859-09-12T00:00:00,1859-09-13T00:00:00,H2,1859,9,Dummy,H2,-1,None,0
37,AL051859,NA,UNNAMED 1859,,313010,4485060.44,,,70,"Sep 15, 1859 to Sep 18, 1859",1859-09-15T00:00:00,1859-09-18T00:00:00,H1,1859,9,Dummy,H1,-1,None,0
38,AL061859,NA,UNNAMED 1859,,313011,4004758.393,,,110,"Oct 02, 1859 to Oct 06, 1859",1859-10-02T00:00:00,1859-10-06T00:00:00,H3,1859,10,Dummy,H3,938,None,0
39,AL071859,NA,UNNAMED 1859,,313012,801642.9573,,,60,"Oct 16, 1859 to Oct 18, 1859",1859-10-16T00:00:00,1859-10-18T00:00:00,TS,1859,10,Dummy,TS,-1,None,0
40,AL081859,NA,UNNAMED 1859,,313013,3783945.644,,,80,"Oct 24, 1859 to Oct 29, 1859",1859-10-24T00:00:00,1859-10-29T00:00:00,H1,1859,10,Dummy,H1,989,None,0
41,AL011860,NA,UNNAMED 1860,,313014,3021756.579,,,110,"Aug 08, 1860 to Aug 16, 1860",1860-08-08T00:00:00,1860-08-16T00:00:00,H3,1860,8,Dummy,H3,-1,None,0
42,AL021860,NA,UNNAMED 1860,,313015,2198218.799,,,90,"Aug 24, 1860 to Aug 26, 1860",1860-08-24T00:00:00,1860-08-26T00:00:00,H2,1860,8,Dummy,H2,-1,None,0
43,AL041860,NA,UNNAMED 1860,,313016,1517437.999,,,90,"Sep 11, 1860 to Sep 16, 1860",1860-09-11T00:00:00,1860-09-16T00:00:00,H2,1860,9,Dummy,H2,-1,None,0
44,AL051860,NA,UNNAMED 1860,,313017,2423862.358,,,60,"Sep 18, 1860 to Sep 21, 1860",1860-09-18T00:00:00,1860-09-21T00:00:00,TS,1860,9,Dummy,TS,-1,None,0
45,AL061860,NA,UNNAMED 1860,,313018,1645607.815,,,90,"Sep 30, 1860 to Oct 03, 1860",1860-09-30T00:00:00,1860-10-03T00:00:00,H2,1860,"9, 10",Dummy,H2,-1,None,0
46,AL071860,NA,UNNAMED 1860,,313019,2971218.071,,,90,"Oct 20, 1860 to Oct 24, 1860",1860-10-20T00:00:00,1860-10-24T00:00:00,H2,1860,10,Dummy,H2,-1,None,0
47,AL011861,NA,UNNAMED 1861,,313020,3339969.353,,,90,"Jul 06, 1861 to Jul 12, 1861",1861-07-06T00:00:00,1861-07-12T00:00:00,H2,1861,7,Dummy,H2,-1,None,0
48,AL021861,NA,UNNAMED 1861,,313021,1941111.588,,,80,"Aug 13, 1861 to Aug 17, 1861",1861-08-13T00:00:00,1861-08-17T00:00:00,H1,1861,8,Dummy,H1,-1,None,0
49,AL031861,NA,UNNAMED 1861,,313022,4064889.53,,,90,"Aug 25, 1861 to Aug 30, 1861",1861-08-25T00:00:00,1861-08-30T00:00:00,H2,1861,8,Dummy,H2,-1,None,0
50,AL051861,NA,UNNAMED 1861,,313023,2720818.921,,,70,"Sep 27, 1861 to Sep 28, 1861",1861-09-27T00:00:00,1861-09-28T00:00:00,H1,1861,9,Dummy,H1,-1,None,0
51,AL061861,NA,UNNAMED 1861,,313024,2965184.114,,,60,"Oct 06, 1861 to Oct 09, 1861",1861-10-06T00:00:00,1861-10-09T00:00:00,TS,1861,10,Dummy,TS,-1,None,0
52,AL081861,NA,UNNAMED 1861,,313025,2871623.501,,,70,"Nov 01, 1861 to Nov 03, 1861",1861-11-01T00:00:00,1861-11-03T00:00:00,H1,1861,11,Dummy,H1,999,None,0
53,AL011862,NA,UNNAMED 1862,,313026,779544.0061,,,50,"Jun 15, 1862 to Jun 17, 1862",1862-06-15T00:00:00,1862-06-17T00:00:00,TS,1862,6,Dummy,TS,-1,None,0
54,AL021862,NA,UNNAMED 1862,,313027,3187345.796,,,90,"Aug 18, 1862 to Aug 21, 1862",1862-08-18T00:00:00,1862-08-21T00:00:00,H2,1862,8,Dummy,H2,-1,None,0
55,AL031862,NA,UNNAMED 1862,,313028,5024677.412,,,90,"Sep 12, 1862 to Sep 20, 1862",1862-09-12T00:00:00,1862-09-20T00:00:00,H2,1862,9,Dummy,H2,-1,None,0
56,AL051862,NA,UNNAMED 1862,,313029,2264808.228,,,70,"Oct 14, 1862 to Oct 17, 1862",1862-10-14T00:00:00,1862-10-17T00:00:00,H1,1862,10,Dummy,H1,-1,None,0
57,AL061862,NA,UNNAMED 1862,,313030,55946.00479,,,60,"Nov 22, 1862 to Nov 25, 1862",1862-11-22T00:00:00,1862-11-25T00:00:00,TS,1862,11,Dummy,TS,-1,None,0
58,AL011863,NA,UNNAMED 1863,,313031,856991.4129,,,90,"Aug 08, 1863 to Aug 09, 1863",1863-08-08T00:00:00,1863-08-09T00:00:00,H2,1863,8,Dummy,H2,-1,None,0
